Name	Location	Status	lat	NS	long	EW	Elev	Type	Eruptype
Tongkoko	Sulawesi-Indonesia	Historical	1.52	N	125.2	E	1149	Stratovolcano	S1
Dofen	Ethiopia	Holocene	9.35	N	40.13	E	1151	Stratovolcano	S0
Bola	New Britain-SW Pac	Holocene	-5.15	S	150.03	E	1155	Stratovolcano	S0
Karaha Kawah	Java	Fumarolic	-7.12	S	108.08	E	1155	Fumarole field	S0
Maroa	New Zealand	Tephrochronology	-38.42	S	176.08	E	1156	Calderas	S0
Malindig	Luzon-Philippines	Hot Springs	13.24	N	122.018	E	1157	Stratovolcano	S0
Iriga	Luzon-Philippines	Holocene	13.457	N	123.457	E	1196	Stratovolcano	S0
Golan Heights	Syria	Holocene	33.1	N	35.97	E	1197	Volcanic field	M0
Asavyo	Ethiopia	Holocene	13.07	N	41.6	E	1200	Shield volcano	M0
Unnamed	Ethiopia	Holocene	5.65	N	37.67	E	1200	Cinder cones	M0
Haruj	Africa-N	Holocene	27.25	N	17.5	E	1200	Volcanic field	M0
Rumble II West	New Zealand	Fumarolic	-35.353	S	178.527	E	1200	Submarine volcano	U0
Tondano Caldera	Sulawesi-Indonesia	Fumarolic	1.23	N	124.83	E	1202	Caldera	S0
Marion Island	Indian O.-S	Historical	-46.9	S	37.75	E	1230	Shield volcanoes	M1
Taveuni	Fiji Is-SW Pacific	Radiocarbon	-16.82	S	-179.97	W	1241	Shield volcano	M0
Baluran	Java	Holocene maybe	-7.85	S	114.37	E	1247	Stratovolcano	S0
Natib	Luzon-Philippines	Holocene maybe	14.72	N	120.4	E	1253	Stratovolcano	S0
Long Island	New Guinea-NE of	Historical	-5.358	S	147.12	E	1280	Complex volcano	S1
Vesuvius	Italy	Historical	40.821	N	14.426	E	1281	Somma volcano	S2
Rajabasa	Sumatra	Fumarolic	-5.78	S	105.625	E	1281	Stratovolcano	S0
Afderà	Ethiopia	Holocene maybe	13.08	N	40.85	E	1295	Stratovolcano	S0
Unnamed	Ethiopia	Holocene	8.7	N	39.63	E	1300	Pyroclastic cones	M0
Biliran	Philippines-C	Historical	11.523	N	124.535	E	1301	Compound volcano	S0
Karapinar Field	Turkey	Holocene	37.67	N	33.65	E	1302	Cinder cones	M0
Dabbayra	Ethiopia	Holocene	12.38	N	40.07	E	1302	Shield volcano	M0
Awu	Sangihe Is-Indonesia	Historical	3.67	N	125.5	E	1320	Stratovolcano	S1
Mahawu	Sulawesi-Indonesia	Historical	1.358	N	124.858	E	1324	Stratovolcano	S1
Ibu	Halmahera-Indonesia	Historical	1.488	N	127.63	E	1325	Stratovolcano	S1
Emuruangogolak	Africa-E	Radiocarbon	1.5	N	36.33	E	1328	Shield volcano	S0
Masaraga	Luzon-Philippines	Holocene	13.32	N	123.6	E	1328	Stratovolcano	S0
Langila	New Britain-SW Pac	Historical	-5.525	S	148.42	E	1330	Complex volcano	M1
Ambrym	Vanuatu-SW Pacific	Historical	-16.25	S	168.12	E	1334	Pyroclastic shield	M1
Dukono	Halmahera-Indonesia	Historical	1.68	N	127.88	E	1335	Complex volcano	S1
Managlase Plateau	New Guinea	Anthropology	-9.08	S	148.33	E	1342	Volcanic field	M0
Pulosari	Java	Holocene	-6.342	S	105.975	E	1346	Stratovolcano	S0
Makian	Halmahera-Indonesia	Historical	0.32	N	127.4	E	1357	Stratovolcano	S2
Lunayyir Harrat	Arabia-W	Historical	25.17	N	37.75	E	1370	Volcanic field	M0
Yangudi	Ethiopia	Holocene	10.58	N	41.042	E	1383	Complex volcano	S0
Mariveles	Luzon-Philippines	Radiocarbon	14.52	N	120.47	E	1388	Stratovolcano	S0
Lopevi	Vanuatu-SW Pacific	Historical	-16.507	S	168.346	E	1413	Stratovolcano	M2
Lewotolo	Lesser Sunda Is	Historical	-8.272	S	123.505	E	1423	Stratovolcano	S1
Kyatwa	Africa-C	Holocene maybe	0.45	N	30.25	E	1430	Tuff cones	S0
Dabbahu	Ethiopia	Historical	12.6	N	40.48	E	1442	Stratovolcano	S0
Korosi	Africa-E	Holocene	0.77	N	36.12	E	1446	Shield volcano	S0
Gabillema	Ethiopia	Holocene	11.08	N	41.27	E	1459	Stratovolcano	S0
Tshibinda	Africa-C	Holocene	-2.32	S	28.75	E	1460	Cinder cones	M0
Chaine des Puys	France	Radiocarbon	45.775	N	2.97	E	1464	Cinder cones	M0
Tahalra Volc Field	Africa-N	Holocene	22.67	N	5	E	1467	Pyroclastic cones	M0
Kishb Harrat	Arabia-W	Holocene	22.8	N	41.38	E	1475	Volcanic field	M0
Ambre-Bobaomby	Madagascar	Holocene	-12.6	S	49.15	E	1475	Volcanic field	M0
Pinatubo	Luzon-Philippines	Historical	15.13	N	120.35	E	1486	Stratovolcano	S3
Aoba	Vanuatu-SW Pacific	Historical	-15.4	S	167.83	E	1496	Shield volcano	M0
Koranga	New Guinea	Holocene	-7.33	S	146.708	E	1500	Maar	S0
Sukaria Caldera	Lesser Sunda Is	Fumarolic	-8.792	S	121.77	E	1500	Caldera	S0
Alayta	Ethiopia	Historical	12.88	N	40.57	E	1501	Shield volcano	M0
Imun	Sumatra	Holocene maybe	2.158	N	98.93	E	1505	Unknown	S0
Silay	Philippines-C	Fumarolic	10.77	N	123.23	E	1510	Stratovolcano	S0
Popa	SE Asia	Anthropology	20.92	N	95.25	E	1518	Stratovolcano	S0
Silali	Africa-E	Ar/Ar	1.15	N	36.23	E	1528	Shield volcano	S0
Billy Mitchell	Bougainville-SW Pacific	Radiocarbon	-6.092	S	155.225	E	1544	Pyroclastic shield	S0
Umboi	New Guinea-NE of	Holocene	-5.589	S	147.875	E	1548	Complex volcano	M0
Sempu	Sulawesi-Indonesia	Fumarolic	1.13	N	124.758	E	1549	Caldera	S0
Haylan Jabal	Arabia-S	Anthropology	15.43	N	44.78	E	1550	Volcanic field	M0
Camiguin	Mindanao-Philippines	Historical	9.203	N	124.673	E	1552	Stratovolcanoes	S0
Bunyaruguru	Africa-C	Holocene	-0.2	S	30.08	E	1554	Maars	S0
Inielika	Lesser Sunda Is	Historical	-8.73	S	120.98	E	1559	Complex volcano	S1
Bulusan	Luzon-Philippines	Historical	12.77	N	124.05	E	1565	Stratovolcanoes	S1
Izumbwe-Mpoli	Africa-E	Holocene	-8.93	S	33.4	E	1568	Pyroclastic cones	S0
Lokon-Empung	Sulawesi-Indonesia	Historical	1.358	N	124.792	E	1580	Stratovolcano	S1
Sork Ale	Ethiopia	Holocene maybe	13.18	N	41.725	E	1611	Stratovolcano	M0
Fort Portal	Africa-C	Radiocarbon	0.7	N	30.25	E	1615	Tuff cones	M0
Kone	Ethiopia	Historical	8.8	N	39.692	E	1619	Calderas	S0
Dubbi	Ethiopia	Historical	13.58	N	41.808	E	1625	Stratovolcano	M0
Ithnayn Harrat	Arabia-W	Holocene	26.58	N	40.2	E	1625	Volcanic field	M0
Muria	Java	Holocene	-6.62	S	110.88	E	1625	Stratovolcano	M0
Gamkonora	Halmahera-Indonesia	Historical	1.38	N	127.53	E	1635	Stratovolcano	S1
Kelimutu	Lesser Sunda Is	Historical	-8.77	S	121.82	E	1639	Complex volcano	S1
Chiracha	Ethiopia	Holocene maybe	6.65	N	38.12	E	1650	Stratovolcano	S0
Tosa Sucha	Ethiopia	Holocene	5.93	N	37.57	E	1650	Cinder cones	M0
